title,price,detail
LG전자 그램14 14ZD90P-GX50K,"1,346,880원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '사운드 : DTS: X Ultra', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', '색상 : 스노우화이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
LG전자 그램14 14ZD90P-GX5BK,"1,372,540원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,"2,448,800원","['화면크기 : 15인치(37~39cm)', '무게 : 1.57kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '디스플레이 특징 : 터치스크린', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(600nit)', '터치 : 터치화면', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'S펜', '무선 배터리 공유', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 브론즈', '보안기능 : 지문인식']"
삼성전자 갤럭시북 이온2 NT950XDA-X71AW,"2,197,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.26kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '밝기 : 슈퍼브라이트(600nit)', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB3.0', '카드 슬롯 : UFS', 'MicroSD카드', '방향키 : ㅗ형', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 화이트', '보안기능 : 지문인식']"
삼성전자 노트북 플러스2 NT550XDZ-AD1AW,"498,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.81kg', '종류 : 셀러론', '운영체제 : 미포함(FreeDos)', 'CPU : 셀러론-6305', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 타이거레이크', 'CPU속도 : 1.8GHz', '램 : 4GB', '메모리 타입 : DDR4', '인텔 GPU : 인텔UHD', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '유선랜 : 유선랜(1Gbps)', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : MicroSD카드', '방향키 : ㅗ형', '부가기능 : 웹캠', '멀티 카드 리더기', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 43Wh', '충전단자 : DC', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.88cm', '조명 : LED백라이트', '색상 : 화이트', '입력장치 : 숫자키패드']"
LG전자 그램14 14ZD90P-GX50K,"1,346,880원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '사운드 : DTS: X Ultra', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', '색상 : 스노우화이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
LG전자 그램14 14ZD90P-GX5BK,"1,372,540원","['화면크기 : 14인치(35~36cm)', '무게 : 0.999kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.4GHz', '터보부스트 : 4.2GHz', '램 : 8GB', '메모리 타입 : LPDDR4x', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1200(WUXGA)', '패널 : IPS패널(광시야각)', '화면비율 : 16대10', '베젤 : 슬림베젤', '특징 : 가벼운노트북', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 지원', '유선랜 : 유선랜있음', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', 'USB3.1', '카드 슬롯 : UFS', '부가기능 : 키보드라이트', '웹캠', 'USB-PD', 'Evo 플랫폼 인증', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 72Wh', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.68cm', '조명 : LED백라이트', 'DCI-P3 : 99%', '보안기능 : 지문인식']"
삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,"2,448,800원","['화면크기 : 15인치(37~39cm)', '무게 : 1.57kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : LPDDR4x', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '디스플레이 특징 : 터치스크린', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '화면펼침 : 360˚', '밝기 : 슈퍼브라이트(600nit)', '터치 : 터치화면', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB Type C', '카드 슬롯 : UFS', 'MicroSD카드', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'S펜', '무선 배터리 공유', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 브론즈', '보안기능 : 지문인식']"
삼성전자 갤럭시북 이온2 NT950XDA-X71AW,"2,197,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.26kg', '종류 : 코어i7 11세대', '운영체제 : 윈도우10 홈', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', 'CPU속도 : 2.8GHz', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX450', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '디스플레이 종류 : QLED', '밝기 : 슈퍼브라이트(600nit)', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '영상출력 : HDMI', '썬더볼트4', '단자 : USB3.0', '카드 슬롯 : UFS', 'MicroSD카드', '방향키 : ㅗ형', '부가기능 : 키보드라이트', '웹캠', '고속충전', 'SSD : 512GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 69.7Wh', '충전단자 : Type C', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.49cm', '색상 : 화이트', '보안기능 : 지문인식']"
삼성전자 노트북 플러스2 NT550XDZ-AD1AW,"498,990원","['화면크기 : 15인치(37~39cm)', '무게 : 1.81kg', '종류 : 셀러론', '운영체제 : 미포함(FreeDos)', 'CPU : 셀러론-6305', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 타이거레이크', 'CPU속도 : 1.8GHz', '램 : 4GB', '메모리 타입 : DDR4', '인텔 GPU : 인텔UHD', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '패널 : 광시야각', '화면비율 : 16대9', '베젤 : 슬림베젤', '패널코팅 : 안티글레어', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '유선랜 : 유선랜(1Gbps)', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : MicroSD카드', '방향키 : ㅗ형', '부가기능 : 웹캠', '멀티 카드 리더기', 'SSD : 256GB', 'SSD 인터페이스 : NVMe', '배터리용량 : 43Wh', '충전단자 : DC', '웹카메라 : 전면', '품목 : 노트북', '두께 : 1.88cm', '조명 : LED백라이트', '색상 : 화이트', '입력장치 : 숫자키패드']"
디클 클릭북 프로 K50-G10 프리도스,"649,000원","['화면크기 : 15인치(37~39cm)', '무게 : 2.3kg', '종류 : 펜티엄 골드', '운영체제 : 미포함(FreeDos)', 'CPU : 펜티엄-G6400', '칩셋 제조사 : 인텔', '코어종류 : 듀얼코어', '코드명 : 코멧레이크', 'CPU속도 : 4.0GHz', '램 : 8GB', '메모리 타입 : DDR4', 'NVIDIA GPU : 지포스 MX350', '인텔 GPU : UHD610', '그래픽 메모리 : 2GB', '해상도 : 1920x1080(FHD)', '패널 : IPS패널(광시야각)', '베젤 : 슬림베젤', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.1', '유선랜 : 유선랜있음', '영상출력 : HDMI', '단자 : USB Type C', 'USB3.0', 'USB2.0', '카드 슬롯 : SD카드', '부가기능 : 웹캠', '키보드라이트(RGB)', 'SSD : 256GB', 'SSD 인터페이스 : M.2', '배터리 타입 : 리튬이온', '배터리용량 : 41Wh', '배터리cell수 : 4cell', '웹카메라 : 전면(100만)', '품목 : 노트북', '두께 : 2.98cm']"
주연테크 슈퍼플라이 블랙 J9FT,"898,990원","['화면크기 : 14인치(35~36cm)', '무게 : 1.12kg', '종류 : 코어i5 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i5-1135G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.2GHz', '램 : 16GB', '메모리 타입 : DDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '베젤 : 슬림베젤', 'NTSC : 72%', '화면펼침 : 180˚', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '다중모니터연결(2개)', '썬더볼트4', '단자 : USB Type C', 'USB3.0', 'USB3.1', '카드 슬롯 : MicroSD카드', '부가기능 : 웹캠', '고속충전', '안면인식', '키보드라이트(LED)', 'MIL-STD', 'USB-PD', 'SSD : 512GB', 'SSD 인터페이스 : M.2', '배터리용량 : 73Wh', '충전단자 : DC', '웹카메라 : 전면(100만)', '무상AS : 1년', '품목 : 노트북', '두께 : 1.65cm', '색상 : 블랙', '입력장치 : 숫자키패드']"
주연테크 슈퍼플라이 J9ST,"999,000원","['화면크기 : 14인치(35~36cm)', '무게 : 1.12kg', '종류 : 코어i7 11세대', '운영체제 : 미포함(FreeDos)', 'CPU : 코어i7-1165G7', '칩셋 제조사 : 인텔', '코어종류 : 쿼드코어', '코드명 : 타이거레이크', '터보부스트 : 4.7GHz', '램 : 16GB', '메모리 타입 : DDR4', '인텔 GPU : Iris Xe Graphics', '그래픽 메모리 : 시스템 메모리 공유', '해상도 : 1920x1080(FHD)', '베젤 : 슬림베젤', 'NTSC : 72%', '화면펼침 : 180˚', '무선랜 : 무선랜 802.11 ax(Wi-Fi6)', '블루투스 : 블루투스5.0', '영상출력 : HDMI', '다중모니터연결(2개)', '썬더볼트4', '단자 : USB Type C', 'USB3.0', 'USB3.1', '카드 슬롯 : MicroSD카드', '부가기능 : 웹캠', '고속충전', '안면인식', '키보드라이트(LED)', 'MIL-STD', 'USB-PD', 'SSD : 512GB', 'SSD 인터페이스 : M.2', '배터리용량 : 73Wh', '충전단자 : DC', '웹카메라 : 전면(100만)', '무상AS : 1년', '품목 : 노트북', '두께 : 1.65cm', '입력장치 : 숫자키패드']"
